crime_type,state,year,subject_count,victim_count,loss_amount
Criminal Forums,Georgia,2016,0,0,0
Denial of Service,Georgia,2016,4,21,18375
Employment,Georgia,2016,238,579,1098248
Extortion,Georgia,2016,110,380,668496
Gambling,Georgia,2016,0,4,867
Government Impersonation,Georgia,2016,69,298,551951
Hacktivist,Georgia,2016,0,1,0
Harassment/Threats of Violence,Georgia,2016,222,362,223814
Social Media,Georgia,2016,243,449,1644321
Health Care Related,Georgia,2016,5,6,5950
IPR/Copyright and Counterfeit,Georgia,2016,32,60,103347
Identity Theft,Georgia,2016,181,435,1990097
Investment,Georgia,2016,25,55,1816796
Lottery/Sweepstakes,Georgia,2016,42,92,86854
Malware/Scareware,Georgia,2016,11,55,30467
Misrepresentation,Georgia,2016,94,135,1264370
No Lead Value,Georgia,2016,63,98,0
Non-payment/Non-Delivery,Georgia,2016,"1,418","2,129",3044216
Other,Georgia,2016,93,252,830757
Personal Data Breach,Georgia,2016,290,635,2712797
Phishing/Vishing/Smishing/Pharming,Georgia,2016,126,404,2235837
Ransomware,Georgia,2016,3,60,12828
Re-shipping,Georgia,2016,6,43,68451
Real Estate/Rental,Georgia,2016,185,240,1867887
Tech Support,Georgia,2016,44,205,1440171
Terrorism,Georgia,2016,2,2,0
Virus,Georgia,2016,2,29,9303
Virtual Currency,Georgia,2016,7,32,47239
419/Overpayment,Guam,2016,2,4,181061
Advanced Fee,Guam,2016,1,5,7149
Auction,Guam,2016,2,3,2810
BEC/EAC,Guam,2016,1,0,0
Charity,Guam,2016,0,0,0
Civil Matter,Guam,2016,1,2,200000
Confidence Fraud/Romance,Guam,2016,0,3,420198
Corporate Data Breach,Guam,2016,0,1,0
Credit Card Fraud,Guam,2016,1,1,9721
Crimes Against Children,Guam,2016,0,0,0
Criminal Forums,Guam,2016,0,0,0
Denial of Service,Guam,2016,0,2,0
Employment,Guam,2016,0,2,14721
Extortion,Guam,2016,0,4,0
Gambling,Guam,2016,0,0,0
Government Impersonation,Guam,2016,0,3,0
Hacktivist,Guam,2016,0,0,0
Harassment/Threats of Violence,Guam,2016,2,3,0
Social Media,Guam,2016,0,5,181090
Health Care Related,Guam,2016,0,0,0
IPR/Copyright and Counterfeit,Guam,2016,0,1,145
Identity Theft,Guam,2016,1,2,0
Investment,Guam,2016,0,0,0
Lottery/Sweepstakes,Guam,2016,0,1,6020
Malware/Scareware,Guam,2016,0,0,0
Misrepresentation,Guam,2016,0,0,0
No Lead Value,Guam,2016,0,3,0
Non-payment/Non-Delivery,Guam,2016,3,15,32000
Other,Guam,2016,0,0,0
Personal Data Breach,Guam,2016,1,1,0
Phishing/Vishing/Smishing/Pharming,Guam,2016,1,2,5000
Ransomware,Guam,2016,0,0,0
Re-shipping,Guam,2016,0,0,0
Real Estate/Rental,Guam,2016,5,3,2230
Tech Support,Guam,2016,0,2,0
Terrorism,Guam,2016,0,0,0
Virus,Guam,2016,0,0,0
Virtual Currency,Guam,2016,0,0,0
419/Overpayment,Hawaii,2016,24,86,152308
Advanced Fee,Hawaii,2016,16,53,100072
Auction,Hawaii,2016,27,54,58008
BEC/EAC,Hawaii,2016,3,38,979067
Charity,Hawaii,2016,1,2,1673
Civil Matter,Hawaii,2016,4,6,6722
Confidence Fraud/Romance,Hawaii,2016,11,49,724751
Corporate Data Breach,Hawaii,2016,2,14,105824
Credit Card Fraud,Hawaii,2016,9,41,111613
Crimes Against Children,Hawaii,2016,1,2,0
Criminal Forums,Hawaii,2016,0,0,0
Denial of Service,Hawaii,2016,1,2,0
Employment,Hawaii,2016,7,35,132366
Extortion,Hawaii,2016,5,48,15402
Gambling,Hawaii,2016,0,1,0
Government Impersonation,Hawaii,2016,3,43,19956
Hacktivist,Hawaii,2016,0,0,0
Harassment/Threats of Violence,Hawaii,2016,20,58,22997
Social Media,Hawaii,2016,13,77,35412
Health Care Related,Hawaii,2016,0,1,0
IPR/Copyright and Counterfeit,Hawaii,2016,2,10,36898
Identity Theft,Hawaii,2016,2,41,77261
Investment,Hawaii,2016,1,9,280243
Lottery/Sweepstakes,Hawaii,2016,2,25,12842
Malware/Scareware,Hawaii,2016,1,10,700
Misrepresentation,Hawaii,2016,13,25,23928
No Lead Value,Hawaii,2016,13,39,0
Non-payment/Non-Delivery,Hawaii,2016,124,199,364443
Other,Hawaii,2016,7,130,57068
Personal Data Breach,Hawaii,2016,26,100,41734
Phishing/Vishing/Smishing/Pharming,Hawaii,2016,6,74,42778
Ransomware,Hawaii,2016,0,8,3639
